nombre,razon_social,domicilio,colonia,poblacion
SERV CARBON,SERVICIO CARBON SA CV,CARR MUZQUIZ ROSITA NO 401 OTE,PALAU MINERAL,MUZQUIZ COAH
SERV MUZQUIZ,SERV MUZQUIZ SA CV,MUZQUIZ BOQUILLA NO 100 L 3,FUNDADORES,MUZQUIZ COAH
SERV PALAU,SERVICIO PALAU SA CV,HIDALGO NO 21,PALAU MINERAL,MUZQUIZ COAH
SERV VILLARREAL,RODRIGUEZ RIVAS MA DEL ROSARIO,CARR MUZQUIZ ROSITA KM 5,MUZQUIZ CIUDAD,MUZQUIZ COAH
SUPER SERV KIKAPU,SUPER SERV KIKAPU SA CV,5 DE FEBRERO OTE SN,MUZQUIZ CIUDAD,MUZQUIZ COAH
CONSORCIO NACAJUCA,CONSORCIO MARIN SA CV,PRO EUSEBIO CASTILLO NO S N,NACAJUCA,NACAJUCA TAB
AD DE GASOL SN AGUSTIN,AD DE GASOL SN AGUSTIN SA CV  ,CALZ SAN AGUSTIN NO 1,DIEZ DE ABRIL,NAUCALPAN EM
DEBISA,DESECHOS BIOLO INDUSTRI SA CV ,AV VIA ADOLFO L MATEOS NO 201,BOULEVARES,NAUCALPAN EM
EST SER CIRCUNVALACION,EST D SERV P AUTOM CIRCU SA CV,CIRCUNVALACION NO 46,CENTRO,NAUCALPAN EM
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,C 5 NO 1A,NAUCALPAN FRACCIONAMIENTO,NAUCALPAN EM
GASOL SAN AGUSTIN DEB ,ADMIN DE GASOL SN AGUSTIN SACV,AV SAN AGUSTIN NO 1,DIEZ DE ABRIL,NAUCALPAN EM
GASOL SAN MATEO,DESECHOS BIOLOGICOS E IND SACV,AV ADOLFO LOPEZ MATEOS NO 201,SANTA CRUZ ACATLAN,NAUCALPAN EM
OPER KAMERUN,OPER KAMERUN SA CV,BLVD TOLUCA NO 9,NAUCALPAN FRACCIONAMIENTO,NAUCALPAN EM
SERV BOULEVARES,SERV BOULEVARES SA,BLVD DEL CENTRO NO 82,BOULEVARES,NAUCALPAN EM
SERV EL TOREO DEB,SERVICIO EL TOREO SA CV,BLVD MANUEL A CAMACHO NO 45,LOMAS DE SOTELO,NAUCALPAN EM
SERV LAS TORRES DE SAT,SERV LAS TORRES DE SAT SA CV  ,BLVD M AVILA CAMACHO NO 1810,JARDINES DE LA FLORIDA,NAUCALPAN EM
SERV MACRUZ PARADERO  ,GRUPO MACRUZ SA CV,AV 16 DE SEPTIEMBRE NO 60,SAN FRANCISCO CUAUTLALPAN,NAUCALPAN EM
SERV TECAMACHALCO,SERV TECAMACHALCO SA CV,AV FUENTES DE TRITONES NO 36,LOMAS DE TECAMACHALCO,NAUCALPAN EM
SERV TECAMACHALCO DEB ,SERV TECAMACHALCO SACV,AV FUENTES DE TRITONES NO 36,LOMAS DE TECAMACHALCO,NAUCALPAN EM
SERV TLATILCO,SERV TLATILCO SA CV,WALTER C BUCHANA SN,SAN LUIS TLATILCO,NAUCALPAN EM
SERV TLATILCO DEB,SERV TLATILCO SA CV,WALTER C BUCHANAN SN AV 1 MAYO,SAN LUIS TLATILCO,NAUCALPAN EM
SERVS DEXEL,SERVICIO DEXEL SA CV,AV GUSTAVO BAZ NO 220,EX HDA ECHEGARAY,NAUCALPAN EM
SUP SERV BOULEV DEB,SUPER SERV BOULEVARES SA,AV LOMAS VERDES SN,CENTRO,NAUCALPAN EM
SUPER SERV BOULEVARES ,SUPER SERV BOULEVARES SA,AV LOMAS VERDES SN,CENTRO,NAUCALPAN EM
SUPER SERV NAUMEX,SUPER SERVICIO NAUMEX SA CV,AV GUSTAVO BAZ NO 175,LOMAS DE SAN AGUSTIN,NAUCALPAN EM
SUPER SERVI FRESNOS,SUPER SERV LOS FRESNOS SA CV  ,CAMINO REAL A SAN MATEO NO 172,SAN MATEO NOPALA,NAUCALPAN EM
VALUVE,VALUVE SC,SAN LUIS TLATILCO NO 25,PARQUE IND NAUCALPAN 3A SECC,NAUCALPAN EM
GASOL SAN FCO,PEREZ MARIA CONCEPCION,HIDALGO NO 2,LA ISLA DE CHAPACHAPA,NAUTLA VER
SERV NAUTLA,SERV NAUTLA SA CV,CARR FEDERAL KM 3,CENTRO,NAUTLA VER
AUTO SERVICIO MAS DEB ,AUTO SERVICIO MAS SA CV,CARR MEX NOGALES SN PERIF NTE,REFORMA,NAVOJOA SON
GASOL LA CUCHILLA,AUTO SERVICIO AFA SA CV,AV JUAREZ NO 501,REFORMA,NAVOJOA SON
GASOL LA JOYA,GASOL LA JOYA SA CV,CARR NAVOJOA HUATABAMPO KM 3,DEPORTIVA,NAVOJOA SON
GASOL TURYMAYO,GASOLINERA TURYMAYO SA CV,JIMENEZ Y J ORTIZ DE DOMINGUEZ,JUAREZ,NAVOJOA SON
JAG AVIACION,JAG AUTOSERVICIOS SA CV,LAZARO CARDENAS NO 601,VILLA FRANCISCO,NAVOJOA SON
JAG LA CASITA,AJA AUTOSERVICIOS SA CV,LAZARO CARDENAS NO 802,VILLA FRANCISCO,NAVOJOA SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,PESQUERIA NO 1601,JUAREZ,NAVOJOA SON
SERV ALAMEDA,SERVICIO ALAMEDA SA CV,PESQUEIRA PROL NTE NO 902,CENTRO,NAVOJOA SON
SERV CENTRAL,NAVARRO ESQUER OSCAR,16 DE SEPTIEMBRE NO 101 A,ADMON DE CORREOS NO 1 NAVOJOA,NAVOJOA SON
SERV GUTIERREZ,GUTIERREZ GAYTAN RAMON HUMBERT,C PESQUEIRA Y JOSEFA ORTIZ DOM,JUAREZ,NAVOJOA SON
SERV LOS PINOS,GONZALEZ BREACH JORGE A,GUELATAO NO 200,CONSTITUCION,NAVOJOA SON
SERV ORO NEGRO,MENDIVIL GIL ESTHER MARGARITA ,CARR INTL MEXICO NOGALES KM 17,CENTRO,NAVOJOA SON
SERV RIO MAYO ABASOLO ,SERV RIO MAYO SA CV,AV MARIANO ABASOLO NO 305 OTE,JUAREZ,NAVOJOA SON
EST D SERVS PEMEX 3788,KAIL SERVICIOS SA CV,CARR NAVOLATO ALTATA KM 27.393,ALTATA,NAVOLATO SIN
GASOL AGSA 2,SERV AGSA SA CV,CARR LA 20 Y 50 SN,VILLA JUAREZ,NAVOLATO SIN
OPER NEXTREMOR,OPERAD NEXTREMOR SA,JUAREZ SN,CENTRO,NEXTLALPAN EM
OPER NEXTREMOR DEB,OPERAD NEXTREMOR SA,JUAREZ SN,CENTRO,NEXTLALPAN EM
ABAMEX,ABAST MEX DE PETROLEO SA CV,AV TEXCOCO NO 696,LOMA BONITA,NEZAHUALCOYOTL EM
ABAMEX DEB,ABAS MEX PETROLEO SACV,AV TEXCOCO NO 696,LOMA BONITA,NEZAHUALCOYOTL EM
GASOL ARAGON,GASOLINERIA ARAGON SA CV,AV CENTRAL SN,BOSQUES DE ARAGON,NEZAHUALCOYOTL EM
GASOL ARAGON DEB,GASOLINERA ARAGON SA CV,AV CENTRAL SN,BOSQUES DE ARAGON,NEZAHUALCOYOTL EM
GASOL ELIZABETH RUIZ C,RUIZ CASAL ELIZABETH,SAN JUAN NO 79,PORVENIR,NEZAHUALCOYOTL EM
GASOL MEXICO,AVILA DELGADILLO SERGIO I,AV TEXCOCO NO 748,LOMA BONITA,NEZAHUALCOYOTL EM
GPO GASOLINERO MINEZOT,GPO GASOLINERO MINEZOTA SACV  ,BASILICA DE GPE NO 3,METROPOLITANA 2 SECC,NEZAHUALCOYOTL EM
GPO GASOLINERO OLMO,GPO GASOLINERO DEL OLMO SA CV ,AV ANGEL DE INDEPENDENCIA 292,EVOLUCION,NEZAHUALCOYOTL EM
SERV CD LAGO,SERV CD LAGO SA CV,AV PENON TEXCOCO NO 1,CIUDAD LAGO,NEZAHUALCOYOTL EM
SERV LUXOR,AVILA CANO JORGE,A LOPEZ MATEOS NO 518 AL 520,AGUA AZUL,NEZAHUALCOYOTL EM
SERV MAZ,AMARO COTA JULIA,CARMELO PEREZ NO 394,VILLADA VICENTE,NEZAHUALCOYOTL EM
SERV SAN CARLOS,AMARO COTA JULIA,AV PANTITLAN NO 771,REFORMA,NEZAHUALCOYOTL EM
SERV SAN JUAN,RUIZ CASAL ELIZABETH,AN SAN JUAN NO 79,PORVENIR,NEZAHUALCOYOTL EM
SERV ZORA,SERV ZORA SA CV,VIRGEN DE LOURDES NO 170,VIRGENCITAS,NEZAHUALCOYOTL EM
CARGA COMBUSTIBLES,CARGA COMBUSTIBLES SA CV,CARR NICOLAS ROMERO NO9 L1 MZ1,CENTRO,NICOLAS ROMERO EM
CARGA COMBUSTIBLES,CARGA COMBUSTIBLES SA CV,CARR ATIZAPAN PROGRESO IND NO,CENTRO,NICOLAS ROMERO EM
COMB PROG INDUSTRIAL  ,COMB PROGRES INDUSTRIAL SA CV ,GOMEZ FARIAS NO 1 L 1,CENTRO,NICOLAS ROMERO EM
SERV LA COLMENA,SERV LA COLMENA SA CV,CARR MEX PROGRESO NO 1,FRANCISCO SARABIA,NICOLAS ROMERO EM
SERV LA COLMENA DEB,SERVICIO LA COLMENA SA CV,CARR MEXICO PROGRESO NO 1,AMPL SARABIA VILLA NICOLAS,NICOLAS ROMERO EM
SERV MONTE BAJO,SERV MONTEBAJO SA CV,AV HIDALGO NO 1,CENTRO,NICOLAS ROMERO EM
SERV PARAJE,SERVICIO PARAJE SA CV,ARTURO MONTIEL NO 800,LAMA CRUZ,NICOLAS ROMERO EM
SUPER SERV DLT 8326,SUPER SERVICIO DLT SA CV,AV KENNEDY SIN NO NO SIN NO,GUERRERO VICENTE ZONA EJIDAL,NICOLAS ROMERO EM
CENTURY GAS,CENTURY GAS SA CV,BLVD LOS ALAMOS NO 198,BELLAVISTA,NOGALES SON
CINCO DE MAYO,EST SERV CINCO DE MAYO SA CV  ,C 5 DE MAYO NO 106,CINCO DE MAYO FOVISSSTE,NOGALES SON
GASOL EL CANELO GAS,EL CANELO GAS SA CV,BLVD LOS ALAMOS NO 222,EMPALME NOGALES,NOGALES SON
GASOL LOS ANGELES,GASOL LOS ANGELES SA CV,PLUTARCO ELIAS CS SN ESQ RMZ,CENTRO,NOGALES SON
LA ARIZONA,GASOL LA ARIZONA SA CV,CARR INTL HILLO NOG KM 255,JARDINES KALITEA,NOGALES SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,HERMOSILLO NO 368,CENTRO,NOGALES SON
SERV GRANJA,AUTO SERV GRANJA SA CV,AV TECHNOLOGICO NO 251,MODERNA,NOGALES SON
SERV GRECO,SERV GRECO SA CV,BLVD EL GRECO NO 43,JARDINES KALITEA,NOGALES SON
SERV PERIFERICO,GALINDO MARTINEZ BALTAZAR,BLVD LUIS DONALDO COLOSIO NO 2,BUENAVISTA,NOGALES SON
SERV Y LUBRICANTE,SERVICIOS Y LUBRICANTES SA CV ,CARR INTERNACIONAL KM 5 NO SN,PARQUE INDUSTRIAL,NOGALES SON
SERV ZAIED,SERV ZAIED SA CV,ALVARO OBREGON NO 1895,MODERNA,NOGALES SON
XXTRA,XXTRA SA CV,CARR INTERNACIONAL NO 4146,VILLA SONORA,NOGALES SON
GASOL NOGALES,GASOL NOGALES SA CV,AV JUAREZ NO 125,NOGALES,NOGALES VER
GASOL RINCON DONCELLAS,GASOL RINCON DONCELLAS SA CV  ,CAR FED TEH VER KM 53.5 SN,NOGALES,NOGALES VER
EST SERV BENITEZ,BENITEZ MARTINEZ RICARDO J,CARR MEX HUICAHAPAN KM 147,NOPALA,NOPALA D VILLAGRAN HGO
EST SERV BENITEZ DEB  ,BENITEZ MARTINEZ RICARDO J,CARR MEXICO HUICHAPAN KM 147,NOPALA,NOPALA D VILLAGRAN HGO
DIST ACEIT COMB ID DEB,DIST ACEIT COMB IDEAL SACV,HIDALGO Y FERROCARRILES SN,CENTRO,NUEVO IDEAL DGO
DIST ACEIT COMB IDEAL ,DIST ACEITES COM IDEAL SACV,HIDALGO Y FERROCARRILES SN,CENTRO,NUEVO IDEAL DGO
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR GOMEZ PALACIO EL HUIZACHE,NUEVO IDEAL,NUEVO IDEAL DGO
SUPER SERV SAMANTHA,CABRALES MONTOYA OSCAR,CARR FCO ZARCO KM 69,ADMON DE CORREOS NUEVO IDEAL,NUEVO IDEAL DGO
APTO DE NUEVO LAREDO  ,APTOS Y SERVICIOS AUXILIARES  ,CARR PIEDRAS NEGRAS KM 5,CENTRO,NUEVO LAREDO TAMPS
EST SERV DIV PANZER,EST SERV DIV PANZER SA CV,CESAR LOPEZ LARA NO 2001,BUROCRATA,NUEVO LAREDO TAMPS
EST SERV NVO PROGRESO ,EST SERV NVO PROGRESO SA CV,CARR ANAHUAC NO 9351,LA SANDIA,NUEVO LAREDO TAMPS
ESTACION LA LAGUNA,CERNA CASILLAS JORGE,DIAG LINCOLN NO 6201,HIPODROMO,NUEVO LAREDO TAMPS
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,MONTERREY NO 3848,HIDALGO,NUEVO LAREDO TAMPS
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,CARR NAC KM 7,LA PAZ,NUEVO LAREDO TAMPS
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,CARR NAC KM 14.5 NO 4444,CARDENAS GONZALEZ ENRIQUE,NUEVO LAREDO TAMPS
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,REFORMA NO 4830,HIDALGO,NUEVO LAREDO TAMPS
REGIOLAR,REGIOLAR DE NUEVO LAREDO SA CV,CARR NACIONAL KM 13 NO 1550,SUCURSAL A NUEVO LAREDO,NUEVO LAREDO TAMPS
SERV ANCIRA GARZA,SERVICIO ANCIRA GARZA SA CV,CESAR LOPEZ DE LARA NO 4330,MEXICO,NUEVO LAREDO TAMPS
GASOL NUMARAN,LOPEZ LOPEZ MARTIN,CARR LA PIEDAD CARAPAN KM 14.5,NUMARAN,NUMARAN MICH
GASOL NUMARAN DEB,LOPEZ LOPEZ MARTIN,CARR LA PIEDAD CARAPAN KM 14.5,NUMARAN,NUMARAN MICH
COMBUST FAJA ORO,COMBUST FAJA DE ORO SA CV,CARR PANAM KM 542.5,LOPEZ MATEOS ADOLFO,OAXACA OAX
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR PANAM NO KM 98 MAS 750,LAS NIEVES,OCAMPO DGO
SERV LOS ARQUITOS,SERV LOS ARQUITOS OCAMPO SA CV,CARR OCAMPO OJUELOS KM 1,OCAMPO CIUDAD,OCAMPO GTO
GASOL CJON DE MORELOS ,EL CALLEJON DE MORELOS SACV,CARR GDL LA BARCA KM 79,CENTRO,OCOTLAN JAL
GASOL EL NUEVO FUERTE ,GASOLINERA EL NVO FUERTE SA CV,AV LA PAZ NO 10,RIVERA DE ZULA,OCOTLAN JAL
SERV TRES DE OCTUBRE  ,SERV TRES DE OCTUBRE SA CV,MANUEL ENRIQUEZ NO 686,CENTRO,OCOTLAN JAL
GASOL SERV NAVA,NOGUERA GARCIA SOCORRO,CARR AMOMOLULCO KM 3,SAN PEDRO ATLAPULCO,OCOYOACAC EM
OPER KAMERUN,OPER KAMERUN SA CV,BLVD TOLUCA METEPEC NO 126 NTE,SAN PEDRO ATLAPULCO,OCOYOACAC EM
EL EDEN,EDEN GUTIERREZ & ARAMONI SA CV,KM 14.300 CARR TUXTLA OCOZOCOA,OCOZOCOAUTLA DE ESPINOSA,OCOZOCOAUTLA D ESPINOSA CHIS
GASISLO OJOCALIENTE,GASISLO 2000 SA CV,CARTERO NO45ESQ PROL DL CARMEN,CENTRO,OJOCALIENTE ZAC
SERV OJO CALIENTE,TISCARENO ALONSO DAVID O,CARR PANAMERICANA KM 615,CONCEPCION,OJOCALIENTE ZAC
SERV PRESID CARDENAS  ,ALONSO TISCARENO EMMA,CARR PANAMERICANA KM 613,CONCEPCION,OJOCALIENTE ZAC
GASOL OJUELOS,COMB Y LUB OJUELOS SA CV,CARR SLP DEP GASOL TEL PUB SN,OJUELOS DE JALISCO,OJUELOS DE JALISCO JAL
COMBUSTIBLES VELAM,COMBUSTIBLES VELAM SA CV,BLVD JUAN N ALVAREZ SN,PILA DEL MONTE,OMETEPEC GRO
GASOL OMETEPEC,VELASCO AMBROCIO MIRIAM RUBI  ,BLVD JUAN N ALVAREZ SN,OMETEPEC,OMETEPEC GRO
GASOL SAN JUAN,VELASCO AMBROCIO MIRIAM RUBI  ,CRT ACAPULCO PINOTEPA NO 1,ADMON DE CORREOS OMETEPEC,OMETEPEC GRO
EST DE SERV,PROV DE COMB ORIZABA SA CV,KM 290 NO 32,BRRIO NUEVO,ORIZABA VER
EST DE SERV DEB,PROV DE COMB ORIZABA SA CV,KM 290 NO 32,BRRIO NUEVO,ORIZABA VER
GASOL CERRITOS,GASOLINERA CERRITOS SA CV,NTE 2 ESQ OTE 31 NO 1 A,SAN JUAN BAUTISTA,ORIZABA VER
KANZ COMBUSTIBLES,KANZ COMBUSTIBLES SA CV,PROL OTE 6 NO 957,BARRIO NUEVO,ORIZABA VER
PROCOSA,PROV COMB ORIZABA SA CV,AUT PUEBLA CORDOBA KM 290 320,BARRIO NUEVO,ORIZABA VER
PROCOSA DEB,PROV DE COMB ORIZABA SACV,AUT PUEBLA CORDOBA KM 290 320,BARRIO NUEVO,ORIZABA VER
GASOLUB OZUMBA DEB,GASOLUB SA CV,NOGALERA CARR CUAUTLA KM70,OZUMBA CENTRO,OZUMBA EM
EST DE SER 6211,QUIJANO AUSTRIA GUY J,BLVD NUEVO HIDALGO NO 902,RANCHO LA COLONIA,PACHUCA DE SOTO HGO
EST SERV PEMEX 0684,HENKEL CASTANEDA LUIS,AV JUAREZ NO 502,LA VILLITA,PACHUCA DE SOTO HGO
GARAGE CENTRAL,GUEVARA RIVERA ADRIAN,MATAMOROS Y XICOTENCATL NO SN,CENTRO,PACHUCA DE SOTO HGO
GASOL ESTACION 6352,DAMOR SA CV,BLVD L DONALDO COLOSIO NO 1100,CENTRO,PACHUCA DE SOTO HGO
GASOL ESTACION 7425,EGU SA CV,BLVD NUEVO NIDALGO NO 204,CENTRO,PACHUCA DE SOTO HGO
GASOL LUDLOW EST PEMEX,LUDLOW ZAVALETA JOSE DANIEL,AV FCO I MADERO NO 1002,ARTICULO 123,PACHUCA DE SOTO HGO
GPO GASOL METROPOLITAN,GPO GASOL METROPOLITANO SA CV ,CARR PACHUCA ACTOPAM KM 9.1,ADMON DE CORREOS NO 2 PACHUCA,PACHUCA DE SOTO HGO
HIDROCARBURO BARAL DEB,HIDROCARBUROS BARAL SA CV,BLVD EVERARDO MARQUEZ NO 212,LOMAS RESIDENCIAL,PACHUCA DE SOTO HGO
HIDROCARBUROS B,HIDROCARBUROS BARAC SA CV,BLVD EVERARDO MARQUEZ NO 506,LOMAS RESIDENCIAL,PACHUCA DE SOTO HGO
HIDROCARBUROS BARAL,HIDROCARBUROS BARAL SA CV,BLVD EVERARDO MARQUEZ NO 212,LOMAS RESIDENCIAL,PACHUCA DE SOTO HGO
HIDROCARBUROS HIDALGO ,HIDROCARBUROS HIDALGO SA CV,BLVD ROJO GOMEZ NO 125,VALLE DE SAN JAVIER,PACHUCA DE SOTO HGO
SERV MORGUSA,SERVICIO MORGUSA SA CV,CRT PACHUCA TGO KM 1 5 NO 100,LOMA DE BELLAVISTA,PACHUCA DE SOTO HGO
SERV PACHUCA,SERV PACHUCA SA CV,BLVD EVERARDO MARQUEZ NO 722,EL PALMAR,PACHUCA DE SOTO HGO
SERV PITAHAYAS,SERVICIO PITAHAYAS SA CV,CARR PACHUCA ACTOPAN SN KM 2.5,ARTICULO 123,PACHUCA DE SOTO HGO
SERVIOLEO,REYES VALDOVINOS MIGUEL,BLVD FELIPE ANGELES NO 1519,CUESCO,PACHUCA DE SOTO HGO
EST SERVICIO ESPINOZA ,ESPINOZA CHAVEZ JESUS,EV MORELIA SN,PAJACUARAN,PAJACUARAN MICH
E S PANABA,ESTACION SERVICIO PANABA SA CV,18 NO 117,PANABA,PANABA YUC
SERV SIFUENTES,LUGO MADEL FRANCISCA,PINO SUAREZ Y FCO VILLA SN,MADERO FRANCISCO I,PANUCO DE CORONADO DGO
DIST COJUMATLAN,DIST COJUMATLAN SA CV,CARR TAMPICO VALLES KM 1,EL MORALILLO,PANUCO VER
GASOL SABALO,GASOLINERA SABALO SA CV,CARR VALLES KM 1,CENTRO,PANUCO VER
SERV RODRIGUEZ,RODRIGUEZ SANCHEZ MA L S,CARR TAMPICO VALLES KM 1 SN,CENTRO,PANUCO VER
SUPER SERV HUASTECA,SUPER SERV HUASTECA SA CV,DIAZ MIRON Y CARR PANUCO SN,HERNANDEZ OCHOA RAFAEL,PANUCO VER
SERV RIVAS POZO GAMBOA,RIVAS JAQUEZ J REFUGIO ARTURO ,CARR STA MON P D GAMBOA KM 37,LAGUNA SECA,PANUCO ZAC
SERV TLAXCALTECA,AUTO SERV TLAXCALTECA SA CV,AV TLAXCALA NO 1,PANZACOLA,PAPALOTLA D XICOHTENCATL TLAX
GASOL EL MURAL,ZARAGOZA MARTINEZ JORGE A,FCO I MADERO NO 513,CENTRO,PAPANTLA VER
GASOL FOY PAPANTLA,GASOL FOY DE PAPANTLA SA CV,LIB CARR PAPANTLA KM 4 400,CENTRO,PAPANTLA VER
GASOL FOY PAPANTLA DEB,GASOL FOY DE PAPANTLA SA CV,LIB CARR PAPANTLA KM 4 400,CENTRO,PAPANTLA VER
GASOL TAJIN,HERNANDEZ HERNANDEZ MACLOVIO E,T POZA RICA SN ANDRES KM 17.5,TAJIN,PAPANTLA VER
SUPER SERV LAS POTRANC,SUPER SERV LAS POTRA SA CV,FRANCISCO I MADERO NO 734,CENTRO,PAPANTLA VER
SUPER SERV PAPANTLA,SUPER SERV PAPANTLA SA CV,FCO I MADERO NO 301,CENTRO,PAPANTLA VER
GASOL MARINA CHILTEPEC,MARINA CHILTEPEC SA CV,CARR PARAISO NO 501,CHILTEPEC EJIDO,PARAISO TAB
GASOL SERV PARAISO DEB,GASOL SERV PARAISO SACV,CARRET PARAISO PTO CEIBA SN,QUINTIN ARAUZ,PARAISO TAB
GAS MABARAK,GAS DE HUATUSCO SA CV,CARR NACIONAL KM 75 XALAPA VER,TOLOME,PASO DE OVEJAS VER
ESTACION DE SERV 0620 ,OBREGON SOLIS VICTOR MANUEL,AHUMADA NO 71,CENTRO,PATZCUARO MICH
PROM DE AUTO ESTACIONE,PROMOTORA DE AUT ESTA SA CV,LIB IGNACIO ZARAGOZA NO 78,CENTRO,PATZCUARO MICH
SERV CALTZONTZIN,IMPUL DE SERV Y TUR CALTZ SACV,CARR A PATZCUARO KM 20,ZARUMUTARO,PATZCUARO MICH
SERV CALTZONTZIN DEB  ,IMPUL DE SERV Y TUR CALT SA CV,CARR A PATZCUARO KM 20,ZARUMUTARO,PATZCUARO MICH
COMB ECOLO DEL LERMA  ,COMBUST ECOLOG DEL LERMA SACV ,AV PADRE HIDALGO NO 1000,SANTA ANA,PENJAMO GTO
GASOL STA ANA,EST COMBUS STA ANA SA CV,AV PADRE HIDALGO NO 306,SANTA ANA PACUECO,PENJAMO GTO
KOPLA PENJAMO,KOPLA SA CV,CARR PENJAMO LA PIEDAD KM 14.5,BUENAVISTA DE CORTES,PENJAMO GTO
SANTA ANA EST DE SERV ,SANTA ANA EST SERV SA CV,KM 82 CARR IRAPUATO LA PIEDAD,SANTA ANA PACUECO,PENJAMO GTO
SERV PIONEROS,SERVICIO PIONEROS SA CV,CARR IRAPUATO LA PIEDAD KM 49,PENJAMO,PENJAMO GTO
SUPER SERV GARBRI,SUPER SERV GARBRI SA CV,AV VILLAGRAN NO 817,SANTA ANA PACUECO,PENJAMO GTO
GASOL PERIBAN,ALVAREZ MENDOZA MIGUEL,CARR PERIBAN LOS REYES NO 20,PERIBAN DE RAMOS,PERIBAN MICH
MULTISERV EXPRESS,MULTISERV EXPRESS PERIB SA CV ,CARR PERIBAN LOS REYES KM 5,PERIBAN DE RAMOS,PERIBAN MICH
BARRALES Y FERNANDEZ  ,BARRALES Y FERNANDEZ SA CV,CARR FED MEX VER KM 282,LOS MOLINOS,PEROTE VER
GAS MABARAK,GAS D XALAPA SA CV,KM 1 500 CARR FEDERAL 140 PERO,PEROTE,PEROTE VER
SERV VAC TLAYACAPAN,SERV VAC TLAYACAPAN SA CV,HUMBOLDT SUR NO 69,LOS PESCADOS,PEROTE VER
SERV EL AGUILA,SERV EL AGUILA DEL NORTE SA CV,AV EMILIO CARRANZA NO 1808,BUENAVISTA NTE,PIEDRAS NEGRAS COAH
GASOL PIJIJIAPAN,GASOLINERA PIJIJIAPAN SA CV,CARR COSTERA KM 144,CENTRO,PIJIJIAPAN CHIS
SERV UNICO,MONRAEL CANEZ ERNESTO,CARR MEXICO TIJUANA NO SN,PITIQUITO,PITIQUITO SON
EST LAS DELICIAS,ESTACION LAS DELICIAS SA CV,BLVD CAMPO AEREO SN,CAMPO AEREO,PLAYA VICENTE VER
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR JOYA A V GUERRERO NO KM1,VILLA UNION,POANAS DGO
SERV EL ROSARIO,HERNANDEZ RODRIGUEZ ROSARIO,CARR TOLUCA PALMILLAS KM 122,POLOTITLAN,POLOTITLAN EM
SUPER SERV BELLA VISTA,SUPER SERV BELLA SA CV,CARR MEXICO QRO KM 129,EL ALAMO,POLOTITLAN EM
EST SERV RICA POZA,MARTINEZ COSSIO EFRAIN,BLVD RUIZ CORTINES NO 1204,CAZONES,POZA RICA VER
GASOL DEL CENTRO,BAUZA CALVINO CARLOS MIGUEL,BLVD LAZARO CARDENAS NO 206,OBRERA,POZA RICA VER
GASOL EL RODEO,GASOLINERA EL RODEO SA CV,CARR MEX TUXPAN KM 197 SN,POZA RICA,POZA RICA VER
GASOL LA PETRO,BANZA MENDOZA MANUEL ESTEBAN  ,CENTRAL PTE SN,PETROMEX,POZA RICA VER
GASOL LOS VENADOS,GASOLINERIA VENADOS POZA SA CV,AV PUEBLA SN,PALMA SOLA,POZA RICA VER
GASOL OCTANO,GASOLINERA OCTANO SA CV,BLVD A RUIZ CORTINEZ NO 1103,BENITO JUAREZ,POZA RICA VER
GASOL ZARCA POZA RICA ,GASOL ZARCA POZA RICA SACV,CARR A CAZONES KM 2.5 NO 3910,FRACC VILLA DE LAS FLORES,POZA RICA VER
GRUPO CRISAN,GRUPO CRISAN SA CV,ADOLFO RUIZ CORTINEZ NO 3300,REFORMA,POZA RICA VER
GASOL ESTACION 7460,SERVIPROGRESO SA CV,EMILIANO ZAPATA NO 90,PROGRESO,PROGRESO D OBREGON HGO
ANGELOPOLIS,ANGELOPOLIS SA CV,BLVD HEROES 5 DE MAYO NO 908,GUADALUPE VICTORIA,PUEBLA PUE
CASMEN GASOL,CASMEN SA CV,23 PTE NO 711,EL CARMEN,PUEBLA PUE
COMBUSTIBLES JV,COMBUSTIBLES JV SA CV,24 SUR NO 507,CENTRO,PUEBLA PUE
COMBUSTIBLES VENSA,COMBUSTIBLES VENSA SA CV,PROL REFORMA NO 6707,LA LIBERTAD,PUEBLA PUE
CRI DE PUEBLA,CRI DE PUEBLA SA CV,FORJADORES DE PUEBLA NO 8960,ROMERO VARGAS IGNACIO,PUEBLA PUE
DISTR SAN CHARBEL DEB ,DISTRIBUIDORA SAN CHARBEL SACV,BLVD CARMEN SERDAN NO 155,SAN FELIPE HUEYOTLIPAN,PUEBLA PUE
DISTRIB SAN CHARBEL,DISTRIBUIDORA SAN CHARBEL SACV,BLVD CARMEN SERDAN NO 155,SAN FELIPE HUEYOTLIPAN,PUEBLA PUE
